"model","prob","final_weight","team"
"planning",0.000439310673461714,24,"<2,8>"
"learning",0.658403381709981,24,"<2,8>"
"exploitation",0.0931252799889538,24,"<2,8>"
"equity",0.429057724472501,24,"<2,8>"
"planning",0.501423758149026,24,"<2,20>"
"learning",0.0271888191657604,24,"<2,20>"
"exploitation",0.0931252799889538,24,"<2,20>"
"equity",0.334707804669762,24,"<2,20>"
"planning",0.101235710810083,24,"<2,40>"
"learning",0.0194156197078771,24,"<2,40>"
"exploitation",0.24020805334438,24,"<2,40>"
"equity",0.235114403295331,24,"<2,40>"
"planning",0.310272693799636,24,"<8,20>"
"learning",0.140253081642337,24,"<8,20>"
"exploitation",0.0931252799889538,24,"<8,20>"
"equity",0.000408429430515254,24,"<8,20>"
"planning",0.0626429765069685,24,"<8,40>"
"learning",0.154195715071167,24,"<8,40>"
"exploitation",0.24020805334438,24,"<8,40>"
"equity",0.000383434485344371,24,"<8,40>"
"planning",0.0239855500608243,24,"<20,40>"
"learning",0.000543382702877687,24,"<20,40>"
"exploitation",0.24020805334438,24,"<20,40>"
"equity",0.000328203646546538,24,"<20,40>"
"planning",0.00502792834914004,50,"<2,8>"
"learning",0.658403381709981,50,"<2,8>"
"exploitation",0.0931252799889538,50,"<2,8>"
"equity",0.429057724472501,50,"<2,8>"
"planning",0.00192515799607831,50,"<2,20>"
"learning",0.0271888191657604,50,"<2,20>"
"exploitation",0.0931252799889538,50,"<2,20>"
"equity",0.334707804669762,50,"<2,20>"
"planning",0.00038868269599778,50,"<2,40>"
"learning",0.0194156197078771,50,"<2,40>"
"exploitation",0.24020805334438,50,"<2,40>"
"equity",0.235114403295331,50,"<2,40>"
"planning",0.00119125579457605,50,"<8,20>"
"learning",0.140253081642337,50,"<8,20>"
"exploitation",0.0931252799889538,50,"<8,20>"
"equity",0.000408429430515254,50,"<8,20>"
"planning",0.716951388801961,50,"<8,40>"
"learning",0.154195715071167,50,"<8,40>"
"exploitation",0.24020805334438,50,"<8,40>"
"equity",0.000383434485344371,50,"<8,40>"
"planning",0.274515586362247,50,"<20,40>"
"learning",0.000543382702877687,50,"<20,40>"
"exploitation",0.24020805334438,50,"<20,40>"
"equity",0.000328203646546538,50,"<20,40>"
"planning",0.0177483989530952,61,"<2,8>"
"learning",0.658403381709981,61,"<2,8>"
"exploitation",0.0931252799889538,61,"<2,8>"
"equity",0.429057724472501,61,"<2,8>"
"planning",0.00679573569658827,61,"<2,20>"
"learning",0.0271888191657604,61,"<2,20>"
"exploitation",0.0931252799889538,61,"<2,20>"
"equity",0.334707804669762,61,"<2,20>"
"planning",0.00137203537435315,61,"<2,40>"
"learning",0.0194156197078771,61,"<2,40>"
"exploitation",0.24020805334438,61,"<2,40>"
"equity",0.235114403295331,61,"<2,40>"
"planning",0.00420508838415295,61,"<8,20>"
"learning",0.140253081642337,61,"<8,20>"
"exploitation",0.0931252799889538,61,"<8,20>"
"equity",0.000408429430515254,61,"<8,20>"
"planning",0.000848992702620253,61,"<8,40>"
"learning",0.154195715071167,61,"<8,40>"
"exploitation",0.24020805334438,61,"<8,40>"
"equity",0.000383434485344371,61,"<8,40>"
"planning",0.96902974888919,61,"<20,40>"
"learning",0.000543382702877687,61,"<20,40>"
"exploitation",0.24020805334438,61,"<20,40>"
"equity",0.000328203646546538,61,"<20,40>"
