"round","s1","s2","model","scenario","final_weight"
"0",2.00000000000002,8.00000000000007,"planning",1,11
"1",2.35960744747583,8.12189018896347,"planning",1,11
"2",2.69844454605822,8.24208239585571,"planning",1,11
"3",3.01882469356211,8.36054164014033,"planning",1,11
"0",1.99999999999999,7.99999999999996,"learning",1,11
"1",2.34296364834399,8.63890533487203,"learning",1,11
"2",2.6774844490309,9.24269876811568,"learning",1,11
"3",3.00360624544337,9.81261918964075,"learning",1,11
"0",2,8,"exploitation",1,11
"1",2.00016867419552,8.9652821176066,"exploitation",1,11
"2",2.00033734413237,9.82860828884831,"exploitation",1,11
"3",2.00050600981063,10.6159632719536,"exploitation",1,11
"0",1.99999999999999,7.99999999999997,"equity",1,11
"1",2.98771798415725,8.00006338555208,"equity",1,11
"2",3.65352764694216,8.00012677107605,"equity",1,11
"3",4.19971890719569,8.00019015657184,"equity",1,11
"0",2.99999999999998,7.99999999999992,"planning",2,12
"1",3.25851700342649,8.21042708549983,"planning",2,12
"2",3.50193844254215,8.41746048735794,"planning",2,12
"3",3.74039514924158,8.62103029148255,"planning",2,12
"0",3,8,"learning",2,12
"1",3.08574051586593,8.84366794386109,"learning",2,12
"2",3.17092811067293,9.61078551229609,"learning",2,12
"3",3.25641011463897,10.3176864228874,"learning",2,12
"0",3,8,"exploitation",2,12
"1",3.000113011711,8.9652821176066,"exploitation",2,12
"2",3.00022602187339,9.82860828884831,"exploitation",2,12
"3",3.0003390304875,10.6159632719536,"exploitation",2,12
"0",3.00000000000003,8.00000000000006,"equity",2,12
"1",3.66987058559643,8.00000099685572,"equity",2,12
"2",4.21978724139589,8.00000199370981,"equity",2,12
"3",5.16614263180054,8.00000299056236,"equity",2,12
"0",2.99999999999998,8.99999999999999,"planning",3,13
"1",3.27163892703893,9.18363646289618,"planning",3,13
"2",3.5274160622495,9.36413790077671,"planning",3,13
"3",3.77797646289831,9.54156411730995,"planning",3,13
"0",3,9.00000000000001,"learning",3,13
"1",3.13158013915116,9.6871952759485,"learning",3,13
"2",3.26021714952976,10.3279583171852,"learning",3,13
"3",3.3938950281714,10.9311863482542,"learning",3,13
"0",3,9,"exploitation",3,13
"1",3.00020466885988,9.8519707758291,"exploitation",3,13
"2",3.00040933137874,10.6308014230416,"exploitation",3,13
"3",3.00061398756076,11.3554467568489,"exploitation",3,13
"0",3.00000000000001,9.00000000000004,"equity",3,13
"1",3.66986989916606,9.00000119447719,"equity",3,13
"2",4.21978611141757,9.00000238893757,"equity",3,13
"3",5.16613975180207,9.00000358338121,"equity",3,13
"0",5.00000000000006,8.00000000000014,"planning",4,13.5
"1",5.167621317336,8.16039432870405,"planning",4,13.5
"2",5.3315434769888,8.31906687459463,"planning",4,13.5
"3",5.49325634661819,8.47584888131618,"planning",4,13.5
"0",4.99999999999999,8,"learning",4,13.5
"1",5.21531098819057,8.70671404771549,"learning",4,13.5
"2",5.42689393472138,9.36290112323121,"learning",4,13.5
"3",5.6387205182742,9.97582359426609,"learning",4,13.5
"0",5,8,"exploitation",4,13.5
"1",5.00020240903462,8.9652821176066,"exploitation",4,13.5
"2",5.00040481510108,9.82860828884831,"exploitation",4,13.5
"3",5.00060721820036,10.6159632719536,"exploitation",4,13.5
"0",5,8.00000000000001,"equity",4,13.5
"1",5.78253618821189,8.00000112600791,"equity",4,13.5
"2",6.46030625387397,8.00000225201541,"equity",4,13.5
"3",7.38214160189343,8.00000337802251,"equity",4,13.5
