"expIndex","subject","scenario","round","weight_selected","target","weak_strength","strong_strength","agent_selected"
"exp1",1,1,0,NA,11,2,8,NA
"exp1",1,1,1,2,11,3,8,1
"exp1",1,1,2,0,11,3,8,0
"exp1",1,1,3,0,11,3,8,0
"exp1",1,2,0,NA,12,3,8,NA
"exp1",1,2,1,8,12,3,9,2
"exp1",1,2,2,0,12,3,9,0
"exp1",1,2,3,0,12,3,9,0
"exp1",1,3,0,NA,13,3,9,NA
"exp1",1,3,1,2,13,3.66,9,1
"exp1",1,3,2,2,13,4.2,9,1
"exp1",1,3,3,0,13,4.2,9,0
"exp1",1,4,0,NA,13.5,5,8,NA
"exp1",1,4,1,2,13.5,5.4,8,1
"exp1",1,4,2,2,13.5,5.77,8,1
"exp1",1,4,3,0,13.5,5.77,8,0
"exp1",2,1,0,NA,11,2,8,NA
"exp1",2,1,1,2,11,3,8,1
"exp1",2,1,2,0,11,3,8,0
"exp1",2,1,3,0,11,3,8,0
"exp1",2,2,0,NA,12,3,8,NA
"exp1",2,2,1,8,12,3,9,2
"exp1",2,2,2,2,12,3.66,9,1
"exp1",2,2,3,2,12,4.2,9,1
"exp1",2,3,0,NA,13,3,9,NA
"exp1",2,3,1,2,13,3.66,9,1
"exp1",2,3,2,2,13,4.2,9,1
"exp1",2,3,3,0,13,4.2,9,0
"exp1",2,4,0,NA,13.5,5,8,NA
"exp1",2,4,1,4,13.5,5.8,8,1
"exp1",2,4,2,4,13.5,6.48,8,1
"exp1",2,4,3,0,13.5,6.48,8,0
"exp1",3,1,0,NA,11,2,8,NA
"exp1",3,1,1,6,11,2,8,1
"exp1",3,1,2,4,11,2,8,1
"exp1",3,1,3,2,11,3,8,1
"exp1",3,2,0,NA,12,3,8,NA
"exp1",3,2,1,4,12,3,8,1
"exp1",3,2,2,4,12,3,8,1
"exp1",3,2,3,2,12,3.66,8,1
"exp1",3,3,0,NA,13,3,9,NA
"exp1",3,3,1,2,13,3,9.22,2
"exp1",3,3,2,4,13,3,9.65,2
"exp1",3,3,3,4,13,3,10.06,2
"exp1",3,4,0,NA,13.5,5,8,NA
"exp1",3,4,1,4,13.5,5,8.5,2
"exp1",3,4,2,4,13.5,5.8,8.5,1
"exp1",3,4,3,2,13.5,5.8,8.73,2
"exp1",4,1,0,NA,11,2,8,NA
"exp1",4,1,1,2,11,3,8,1
"exp1",4,1,2,0,11,3,8,0
"exp1",4,1,3,0,11,3,8,0
"exp1",4,2,0,NA,12,3,8,NA
"exp1",4,2,1,2,12,3.66,8,1
"exp1",4,2,2,2,12,4.2,8,1
"exp1",4,2,3,0,12,4.2,8,0
"exp1",4,3,0,NA,13,3,9,NA
"exp1",4,3,1,2,13,3.66,9,1
"exp1",4,3,2,2,13,4.2,9,1
"exp1",4,3,3,0,13,4.2,9,0
"exp1",4,4,0,NA,13.5,5,8,NA
"exp1",4,4,1,4,13.5,5.8,8,1
"exp1",4,4,2,0,13.5,5.8,8,0
"exp1",4,4,3,0,13.5,5.8,8,0
"exp1",5,1,0,NA,11,2,8,NA
"exp1",5,1,1,2,11,3,8,1
"exp1",5,1,2,0,11,3,8,0
"exp1",5,1,3,0,11,3,8,0
"exp1",5,2,0,NA,12,3,8,NA
"exp1",5,2,1,8,12,3,8,1
"exp1",5,2,2,2,12,3.66,8,1
"exp1",5,2,3,2,12,4.2,8,1
"exp1",5,3,0,NA,13,3,9,NA
"exp1",5,3,1,2,13,3.66,9,1
"exp1",5,3,2,2,13,3.66,9.22,2
"exp1",5,3,3,2,13,4.2,9.22,1
"exp1",5,4,0,NA,13.5,5,8,NA
"exp1",5,4,1,4,13.5,5,8.5,2
"exp1",5,4,2,0,13.5,5,8.5,0
"exp1",5,4,3,0,13.5,5,8.5,0
"exp1",6,1,0,NA,11,2,8,NA
"exp1",6,1,1,2,11,3,8,1
"exp1",6,1,2,2,11,3.66,8,1
"exp1",6,1,3,2,11,4.2,8,1
"exp1",6,2,0,NA,12,3,8,NA
"exp1",6,2,1,2,12,3.66,8,1
"exp1",6,2,2,2,12,4.2,8,1
"exp1",6,2,3,4,12,5.15,8,1
"exp1",6,3,0,NA,13,3,9,NA
"exp1",6,3,1,2,13,3.66,9,1
"exp1",6,3,2,2,13,4.2,9,1
"exp1",6,3,3,4,13,5.15,9,1
"exp1",6,4,0,NA,13.5,5,8,NA
"exp1",6,4,1,8,13.5,5,9,2
"exp1",6,4,2,0,13.5,5,9,0
"exp1",6,4,3,0,13.5,5,9,0
"exp1",7,1,0,NA,11,2,8,NA
"exp1",7,1,1,2,11,3,8,1
"exp1",7,1,2,0,11,3,8,0
"exp1",7,1,3,0,11,3,8,0
"exp1",7,2,0,NA,12,3,8,NA
"exp1",7,2,1,2,12,3.66,8,1
"exp1",7,2,2,2,12,4.2,8,1
"exp1",7,2,3,0,12,4.2,8,0
"exp1",7,3,0,NA,13,3,9,NA
"exp1",7,3,1,2,13,3.66,9,1
"exp1",7,3,2,2,13,4.2,9,1
"exp1",7,3,3,0,13,4.2,9,0
"exp1",7,4,0,NA,13.5,5,8,NA
"exp1",7,4,1,2,13.5,5.4,8,1
"exp1",7,4,2,2,13.5,5.77,8,1
"exp1",7,4,3,0,13.5,5.77,8,0
"exp1",8,1,0,NA,11,2,8,NA
"exp1",8,1,1,8,11,2,9,2
"exp1",8,1,2,0,11,2,9,0
"exp1",8,1,3,0,11,2,9,0
"exp1",8,2,0,NA,12,3,8,NA
"exp1",8,2,1,2,12,3.66,8,1
"exp1",8,2,2,2,12,4.2,8,1
"exp1",8,2,3,0,12,4.2,8,0
"exp1",8,3,0,NA,13,3,9,NA
"exp1",8,3,1,2,13,3.66,9,1
"exp1",8,3,2,2,13,4.2,9,1
"exp1",8,3,3,2,13,4.67,9,1
"exp1",8,4,0,NA,13.5,5,8,NA
"exp1",8,4,1,2,13.5,5.4,8,1
"exp1",8,4,2,2,13.5,5.77,8,1
"exp1",8,4,3,0,13.5,5.77,8,0
"exp1",9,1,0,NA,11,2,8,NA
"exp1",9,1,1,2,11,3,8,1
"exp1",9,1,2,0,11,3,8,0
"exp1",9,1,3,0,11,3,8,0
"exp1",9,2,0,NA,12,3,8,NA
"exp1",9,2,1,2,12,3.66,8,1
"exp1",9,2,2,2,12,4.2,8,1
"exp1",9,2,3,0,12,4.2,8,0
