"expIndex","subject","target","round","weak_strength","strong_strength","agent_selected","weight_selected","scenario","team"
"exp2-2",1,24,0,20,40,NA,NA,1,"<20,40>"
"exp2-2",1,24,1,20.4,40,1,8,1,"<20,40>"
"exp2-2",1,24,2,20.79,40,1,8,1,"<20,40>"
"exp2-2",1,24,3,21.17,40,1,8,1,"<20,40>"
"exp2-2",1,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",1,50,1,20,40,0,0,2,"<20,40>"
"exp2-2",1,50,2,20,40,0,0,2,"<20,40>"
"exp2-2",1,50,3,20,40,0,0,2,"<20,40>"
"exp2-2",1,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",1,61,1,20,40,0,0,3,"<20,40>"
"exp2-2",1,61,2,20,40,0,0,3,"<20,40>"
"exp2-2",1,61,3,20,40,0,0,3,"<20,40>"
"exp2-2",2,24,0,20,40,NA,NA,1,"<20,40>"
"exp2-2",2,24,1,20,40,0,0,1,"<20,40>"
"exp2-2",2,24,2,20,40,0,0,1,"<20,40>"
"exp2-2",2,24,3,20,40,0,0,1,"<20,40>"
"exp2-2",2,50,0,8,20,NA,NA,2,"<8,20>"
"exp2-2",2,50,1,8.5,20,1,4,2,"<8,20>"
"exp2-2",2,50,2,8.5,20.3,2,6,2,"<8,20>"
"exp2-2",2,50,3,8.97,20.3,1,4,2,"<8,20>"
"exp2-2",2,61,0,8,40,NA,NA,3,"<8,40>"
"exp2-2",2,61,1,8.75,40,1,6,3,"<8,40>"
"exp2-2",2,61,2,9.66,40,1,8,3,"<8,40>"
"exp2-2",2,61,3,10.48,40,1,8,3,"<8,40>"
"exp2-2",3,24,0,2,20,NA,NA,1,"<2,20>"
"exp2-2",3,24,1,3,20,1,2,1,"<2,20>"
"exp2-2",3,24,2,3,20,1,4,1,"<2,20>"
"exp2-2",3,24,3,3.66,20,1,2,1,"<2,20>"
"exp2-2",3,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",3,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",3,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",3,50,3,10.28,40,1,4,2,"<8,40>"
"exp2-2",3,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",3,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",3,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",3,61,3,21.17,40,1,8,3,"<20,40>"
"exp2-2",4,24,0,8,20,NA,NA,1,"<8,20>"
"exp2-2",4,24,1,8,20,0,0,1,"<8,20>"
"exp2-2",4,24,2,8,20,0,0,1,"<8,20>"
"exp2-2",4,24,3,8,20,0,0,1,"<8,20>"
"exp2-2",4,50,0,8,40,NA,NA,2,"<8,40>"
"exp2-2",4,50,1,9,40,1,8,2,"<8,40>"
"exp2-2",4,50,2,9.88,40,1,8,2,"<8,40>"
"exp2-2",4,50,3,10.68,40,1,8,2,"<8,40>"
"exp2-2",4,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",4,61,1,20.1,40,1,2,3,"<20,40>"
"exp2-2",4,61,2,20.49,40,1,8,3,"<20,40>"
"exp2-2",4,61,3,20.88,40,1,8,3,"<20,40>"
"exp2-2",5,24,0,20,40,NA,NA,1,"<20,40>"
"exp2-2",5,24,1,20,40,0,0,1,"<20,40>"
"exp2-2",5,24,2,20,40,0,0,1,"<20,40>"
"exp2-2",5,24,3,20,40,0,0,1,"<20,40>"
"exp2-2",5,50,0,20,40,NA,NA,2,"<20,40>"
"exp2-2",5,50,1,20,40,0,0,2,"<20,40>"
"exp2-2",5,50,2,20,40,0,0,2,"<20,40>"
"exp2-2",5,50,3,20,40,0,0,2,"<20,40>"
"exp2-2",5,61,0,20,40,NA,NA,3,"<20,40>"
"exp2-2",5,61,1,20.4,40,1,8,3,"<20,40>"
"exp2-2",5,61,2,20.79,40,1,8,3,"<20,40>"
"exp2-2",5,61,3,20.79,40.2,2,8,3,"<20,40>"
