"expIndex","subject","scenario","round","pset_selected","target","weak_math","strong_math","agent_selected"
"exp3",1,1,0,NA,11,2,8,NA
"exp3",1,1,1,6,11,2,8,1
"exp3",1,1,2,6,11,2,8.75,2
"exp3",1,1,3,6,11,2,9.43,2
"exp3",1,2,0,NA,12,3,8,NA
"exp3",1,2,1,2,12,3.66,8,1
"exp3",1,2,2,4,12,3.66,8,1
"exp3",1,2,3,8,12,3.66,9,2
"exp3",1,3,0,NA,13,3,9,NA
"exp3",1,3,1,2,13,3.66,9,1
"exp3",1,3,2,4,13,3.66,9,1
"exp3",1,3,3,4,13,3.66,9,1
"exp3",1,4,0,NA,13.5,5,8,NA
"exp3",1,4,1,4,13.5,5.8,8,1
"exp3",1,4,2,4,13.5,6.48,8,1
"exp3",1,4,3,6,13.5,7.4,8,1
"exp3",1,5,0,NA,12,2,8,NA
"exp3",1,5,1,6,12,2,8.75,2
"exp3",1,5,2,8,12,2,9.66,2
"exp3",1,5,3,2,12,3,9.66,1
"exp3",1,6,0,NA,12.5,3,8,NA
"exp3",1,6,1,0,12.5,3,8,2
"exp3",1,6,2,2,12.5,3.66,8,1
"exp3",1,6,3,2,12.5,4.2,8,1
"exp3",1,7,0,NA,13.5,3,9,NA
"exp3",1,7,1,8,13.5,3,9.88,2
"exp3",1,7,2,2,13.5,3.66,9.88,1
"exp3",1,7,3,2,13.5,3.66,9.88,0
"exp3",1,8,0,NA,15,5,8,NA
"exp3",1,8,1,8,15,5,9,2
"exp3",1,8,2,4,15,5.8,9,1
"exp3",1,8,3,6,15,5.8,9,1
"exp3",2,1,0,NA,11,2,8,NA
"exp3",2,1,1,2,11,3,8,1
"exp3",2,1,2,0,11,3,8,0
"exp3",2,1,3,0,11,3,8,0
"exp3",2,2,0,NA,12,3,8,NA
"exp3",2,2,1,8,12,3,9,2
"exp3",2,2,2,0,12,3,9,0
"exp3",2,2,3,0,12,3,9,0
"exp3",2,3,0,NA,13,3,9,NA
"exp3",2,3,1,2,13,3.66,9,1
"exp3",2,3,2,2,13,4.2,9,1
"exp3",2,3,3,0,13,4.2,9,0
"exp3",2,4,0,NA,13.5,5,8,NA
"exp3",2,4,1,8,13.5,5,9,2
"exp3",2,4,2,0,13.5,5,9,0
"exp3",2,4,3,0,13.5,5,9,0
"exp3",2,5,0,NA,12,2,8,NA
"exp3",2,5,1,2,12,3,8,1
"exp3",2,5,2,8,12,3,9,2
"exp3",2,5,3,0,12,3,9,0
"exp3",2,6,0,NA,12.5,3,8,NA
"exp3",2,6,1,8,12.5,3,9,2
"exp3",2,6,2,8,12.5,3,9.88,2
"exp3",2,6,3,0,12.5,3,9.88,0
"exp3",2,7,0,NA,13.5,3,9,NA
"exp3",2,7,1,2,13.5,3.66,9,1
"exp3",2,7,2,2,13.5,4.2,9,1
"exp3",2,7,3,0,13.5,4.2,9,0
"exp3",2,8,0,NA,15,5,8,NA
"exp3",2,8,1,4,15,5.8,8,1
"exp3",2,8,2,4,15,6.48,8,1
"exp3",2,8,3,4,15,7.09,8,1
"exp3",3,1,0,NA,11,2,8,NA
"exp3",3,1,1,2,11,3,8,1
"exp3",3,1,2,0,11,3,8,0
"exp3",3,1,3,0,11,3,8,0
"exp3",3,2,0,NA,12,3,8,NA
"exp3",3,2,1,8,12,3,9,2
"exp3",3,2,2,0,12,3,9,0
"exp3",3,2,3,0,12,3,9,0
"exp3",3,3,0,NA,13,3,9,NA
"exp3",3,3,1,8,13,3,9.88,2
"exp3",3,3,2,2,13,3,10.08,2
"exp3",3,3,3,0,13,3,10.08,0
"exp3",3,4,0,NA,13.5,5,8,NA
"exp3",3,4,1,4,13.5,5,8.5,2
"exp3",3,4,2,0,13.5,5,8.5,0
"exp3",3,4,3,0,13.5,5,8.5,0
"exp3",3,5,0,NA,12,2,8,NA
"exp3",3,5,1,2,12,2,8.25,2
"exp3",3,5,2,2,12,3,8.25,1
"exp3",3,5,3,4,12,3,8.25,1
"exp3",3,6,0,NA,12.5,3,8,NA
"exp3",3,6,1,2,12.5,3.66,8,1
"exp3",3,6,2,8,12.5,3.66,9,2
"exp3",3,6,3,0,12.5,3.66,9,0
"exp3",3,7,0,NA,13.5,3,9,NA
"exp3",3,7,1,2,13.5,3.66,9,1
"exp3",3,7,2,8,13.5,3.66,9.88,2
"exp3",3,7,3,0,13.5,3.66,9.88,0
"exp3",3,8,0,NA,15,5,8,NA
"exp3",3,8,1,4,15,5.8,8,1
"exp3",3,8,2,4,15,5.8,8.5,2
"exp3",3,8,3,4,15,5.8,8.97,2
"exp3",4,1,0,NA,11,2,8,NA
"exp3",4,1,1,2,11,3,8,1
"exp3",4,1,2,0,11,3,8,0
"exp3",4,1,3,0,11,3,8,0
"exp3",4,2,0,NA,12,3,8,NA
"exp3",4,2,1,8,12,3,9,2
"exp3",4,2,2,0,12,3,9,0
"exp3",4,2,3,0,12,3,9,0
"exp3",4,3,0,NA,13,3,9,NA
"exp3",4,3,1,8,13,3,9.88,2
"exp3",4,3,2,2,13,3,10.08,2
"exp3",4,3,3,0,13,3,10.08,0
"exp3",4,4,0,NA,13.5,5,8,NA
"exp3",4,4,1,0,13.5,5,8,0
"exp3",4,4,2,4,13.5,5.8,8,1
"exp3",4,4,3,0,13.5,5.8,8,0
"exp3",4,5,0,NA,12,2,8,NA
"exp3",4,5,1,2,12,3,8,1
"exp3",4,5,2,8,12,3,9,2
"exp3",4,5,3,0,12,3,9,0
"exp3",4,6,0,NA,12.5,3,8,NA
"exp3",4,6,1,4,12.5,3,8.5,2
"exp3",4,6,2,8,12.5,3,9.44,2
"exp3",4,6,3,2,12.5,3.66,9.44,1
"exp3",4,7,0,NA,13.5,3,9,NA
"exp3",4,7,1,8,13.5,3,9.88,2
"exp3",4,7,2,8,13.5,3,10.68,2
"exp3",4,7,3,0,13.5,3,10.68,0
"exp3",4,8,0,NA,15,5,8,NA
"exp3",4,8,1,8,15,5,9,2
"exp3",4,8,2,4,15,5.8,9,1
"exp3",4,8,3,2,15,6.14,9,1
"exp3",5,1,0,NA,11,2,8,NA
"exp3",5,1,1,2,11,3,8,1
"exp3",5,1,2,0,11,3,8,0
"exp3",5,1,3,0,11,3,8,0
"exp3",5,2,0,NA,12,3,8,NA
"exp3",5,2,1,2,12,3.66,8,1
"exp3",5,2,2,2,12,4.2,8,1
"exp3",5,2,3,0,12,4.2,8,0
"exp3",5,3,0,NA,13,3,9,NA
"exp3",5,3,1,6,13,3,9.66,2
"exp3",5,3,2,4,13,3,10.07,2
"exp3",5,3,3,0,13,3,10.07,0
"exp3",5,4,0,NA,13.5,5,8,NA
"exp3",5,4,1,4,13.5,5,8.5,2
"exp3",5,4,2,0,13.5,5,8.5,0
"exp3",5,4,3,0,13.5,5,8.5,0
"exp3",5,5,0,NA,12,2,8,NA
"exp3",5,5,1,2,12,3,8,1
"exp3",5,5,2,2,12,3.66,8,1
"exp3",5,5,3,2,12,3.66,8.25,2
"exp3",5,6,0,NA,12.5,3,8,NA
"exp3",5,6,1,8,12.5,3,9,2
"exp3",5,6,2,6,12.5,3,9.66,2
"exp3",5,6,3,0,12.5,3,9.66,0
"exp3",5,7,0,NA,13.5,3,9,NA
"exp3",5,7,1,2,13.5,3.66,9,1
"exp3",5,7,2,2,13.5,4.2,9,1
"exp3",5,7,3,4,13.5,5.15,9,1
"exp3",5,8,0,NA,15,5,8,NA
"exp3",5,8,1,4,15,5.8,8,1
"exp3",5,8,2,2,15,6.14,8,1
"exp3",5,8,3,6,15,7.11,8,1
"exp3",6,1,0,NA,11,2,8,NA
"exp3",6,1,1,8,11,2,9,2
"exp3",6,1,2,0,11,2,9,0
"exp3",6,1,3,0,11,2,9,0
"exp3",6,2,0,NA,12,3,8,NA
"exp3",6,2,1,8,12,3,9,2
"exp3",6,2,2,0,12,3,9,0
"exp3",6,2,3,0,12,3,9,0
"exp3",6,3,0,NA,13,3,9,NA
"exp3",6,3,1,8,13,3,9.88,2
"exp3",6,3,2,2,13,3.66,9.88,1
"exp3",6,3,3,2,13,4.2,9.88,1
"exp3",6,4,0,NA,13.5,5,8,NA
"exp3",6,4,1,2,13.5,5.4,8,1
"exp3",6,4,2,0,13.5,5.4,8,0
"exp3",6,4,3,0,13.5,5.4,8,0
"exp3",6,5,0,NA,12,2,8,NA
"exp3",6,5,1,8,12,2,9,2
"exp3",6,5,2,8,12,2,9.88,2
"exp3",6,5,3,0,12,2,9.88,0
"exp3",6,6,0,NA,12.5,3,8,NA
"exp3",6,6,1,8,12.5,3,9,2
"exp3",6,6,2,2,12.5,3.66,9,1
"exp3",6,6,3,2,12.5,4.2,9,1
"exp3",6,7,0,NA,13.5,3,9,NA
"exp3",6,7,1,2,13.5,3.66,9,1
"exp3",6,7,2,2,13.5,4.2,9,1
"exp3",6,7,3,4,13.5,5.15,9,1
"exp3",6,8,0,NA,15,5,8,NA
"exp3",6,8,1,4,15,5.8,8,1
"exp3",6,8,2,4,15,6.48,8,1
"exp3",6,8,3,6,15,7.4,8,1
"exp3",7,1,0,NA,11,2,8,NA
"exp3",7,1,1,8,11,2,9,2
"exp3",7,1,2,0,11,2,9,0
"exp3",7,1,3,0,11,2,9,0
"exp3",7,2,0,NA,12,3,8,NA
"exp3",7,2,1,2,12,3.66,8,1
"exp3",7,2,2,2,12,4.2,8,1
"exp3",7,2,3,0,12,4.2,8,0
"exp3",7,3,0,NA,13,3,9,NA
"exp3",7,3,1,8,13,3,9.88,2
"exp3",7,3,2,2,13,3,10.08,2
"exp3",7,3,3,0,13,3,10.08,0
"exp3",7,4,0,NA,13.5,5,8,NA
"exp3",7,4,1,4,13.5,5.8,8,1
"exp3",7,4,2,0,13.5,5.8,8,0
"exp3",7,4,3,0,13.5,5.8,8,0
"exp3",7,5,0,NA,12,2,8,NA
"exp3",7,5,1,2,12,3,8,1
"exp3",7,5,2,2,12,3.66,8,1
"exp3",7,5,3,2,12,4.2,8,1
"exp3",7,6,0,NA,12.5,3,8,NA
"exp3",7,6,1,2,12.5,3.66,8,1
"exp3",7,6,2,2,12.5,4.2,8,1
"exp3",7,6,3,4,12.5,5.15,8,1
"exp3",7,7,0,NA,13.5,3,9,NA
"exp3",7,7,1,2,13.5,3.66,9,1
"exp3",7,7,2,2,13.5,4.2,9,1
"exp3",7,7,3,4,13.5,5.15,9,1
"exp3",7,8,0,NA,15,5,8,NA
"exp3",7,8,1,8,15,5,9,2
"exp3",7,8,2,4,15,5.8,9,1
"exp3",7,8,3,6,15,5.8,9,1
"exp3",8,1,0,NA,11,2,8,NA
"exp3",8,1,1,2,11,3,8,1
"exp3",8,1,2,0,11,3,8,0
"exp3",8,1,3,0,11,3,8,0
"exp3",8,2,0,NA,12,3,8,NA
"exp3",8,2,1,2,12,3.66,8,1
"exp3",8,2,2,2,12,4.2,8,1
"exp3",8,2,3,0,12,4.2,8,0
"exp3",8,3,0,NA,13,3,9,NA
"exp3",8,3,1,4,13,3,9.44,2
"exp3",8,3,2,4,13,3,9.86,2
"exp3",8,3,3,4,13,3,10.26,2
"exp3",8,4,0,NA,13.5,5,8,NA
"exp3",8,4,1,4,13.5,5.8,8,1
"exp3",8,4,2,0,13.5,5.8,8,0
"exp3",8,4,3,0,13.5,5.8,8,0
"exp3",8,5,0,NA,12,2,8,NA
"exp3",8,5,1,2,12,3,8,1
"exp3",8,5,2,8,12,3,9,2
"exp3",8,5,3,0,12,3,9,0
"exp3",8,6,0,NA,12.5,3,8,NA
"exp3",8,6,1,2,12.5,3.66,8,1
"exp3",8,6,2,6,12.5,3.66,8.75,2
"exp3",8,6,3,2,12.5,4.2,8.75,1
"exp3",8,7,0,NA,13.5,3,9,NA
"exp3",8,7,1,2,13.5,3.66,9,1
"exp3",8,7,2,2,13.5,4.2,9,1
