"expIndex","subject","target","round","weak_math","strong_math","agent_selected","pset_selected","scenario","team"
"exp4",1,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",1,24,1,3,20,1,2,1,"<2,20>"
"exp4",1,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",1,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",1,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",1,50,1,9,40,1,8,2,"<8,40>"
"exp4",1,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",1,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",1,61,0,8,20,NA,NA,3,"<8,20>"
"exp4",1,61,1,9,20,1,8,3,"<8,20>"
"exp4",1,61,2,9,20,0,0,3,"<8,20>"
"exp4",1,61,3,9.88,20,1,8,3,"<8,20>"
"exp4",2,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",2,24,1,8,20,0,0,1,"<8,20>"
"exp4",2,24,2,8,20,0,0,1,"<8,20>"
"exp4",2,24,3,8,20,0,0,1,"<8,20>"
"exp4",2,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",2,50,1,20,40,0,0,2,"<20,40>"
"exp4",2,50,2,20,40,0,0,2,"<20,40>"
"exp4",2,50,3,20,40,0,0,2,"<20,40>"
"exp4",2,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",2,61,1,20,40.2,2,8,3,"<20,40>"
"exp4",2,61,2,20.4,40.2,1,8,3,"<20,40>"
"exp4",2,61,3,20.79,40.2,1,8,3,"<20,40>"
"exp4",3,24,0,2,8,NA,NA,1,"<2,8>"
"exp4",3,24,1,2,9,2,8,1,"<2,8>"
"exp4",3,24,2,3,9,1,2,1,"<2,8>"
"exp4",3,24,3,3,9.88,2,8,1,"<2,8>"
"exp4",3,50,0,2,8,NA,NA,2,"<2,8>"
"exp4",3,50,1,2,9,2,8,2,"<2,8>"
"exp4",3,50,2,3,9,1,2,2,"<2,8>"
"exp4",3,50,3,3.66,9,1,2,2,"<2,8>"
"exp4",3,61,0,2,8,NA,NA,3,"<2,8>"
"exp4",3,61,1,2,9,2,8,3,"<2,8>"
"exp4",3,61,2,3,9,1,2,3,"<2,8>"
"exp4",3,61,3,3.66,9,1,2,3,"<2,8>"
"exp4",4,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",4,24,1,3,20,1,2,1,"<2,20>"
"exp4",4,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",4,24,3,3.66,20.4,2,8,1,"<2,20>"
"exp4",4,50,0,20,40,NA,NA,2,"<20,40>"
"exp4",4,50,1,20.4,40,1,8,2,"<20,40>"
"exp4",4,50,2,20.4,40.2,2,8,2,"<20,40>"
"exp4",4,50,3,20.79,40.2,1,8,2,"<20,40>"
"exp4",4,61,0,8,40,NA,NA,3,"<8,40>"
"exp4",4,61,1,9,40,1,8,3,"<8,40>"
"exp4",4,61,2,9,40.2,2,8,3,"<8,40>"
"exp4",4,61,3,9.88,40.2,1,8,3,"<8,40>"
"exp4",5,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",5,24,1,3,20,1,2,1,"<2,20>"
"exp4",5,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",5,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",5,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",5,50,1,8.5,40,1,4,2,"<8,40>"
"exp4",5,50,2,9.2,40,1,6,2,"<8,40>"
"exp4",5,50,3,10.06,40,1,8,2,"<8,40>"
"exp4",5,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",5,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",5,61,2,20.4,40.2,2,8,3,"<20,40>"
"exp4",5,61,3,20.4,40.39,2,8,3,"<20,40>"
"exp4",6,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",6,24,1,9,20,1,8,1,"<8,20>"
"exp4",6,24,2,9.88,20,1,8,1,"<8,20>"
"exp4",6,24,3,10.68,20,1,8,1,"<8,20>"
"exp4",6,50,0,2,40,NA,NA,2,"<2,40>"
"exp4",6,50,1,3,40,1,2,2,"<2,40>"
"exp4",6,50,2,3.66,40,1,2,2,"<2,40>"
"exp4",6,50,3,4.2,40,1,2,2,"<2,40>"
"exp4",6,61,0,8,20,NA,NA,3,"<8,20>"
"exp4",6,61,1,9,20,1,8,3,"<8,20>"
"exp4",6,61,2,9.88,20,1,8,3,"<8,20>"
"exp4",6,61,3,10.68,20,1,8,3,"<8,20>"
"exp4",7,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",7,24,1,3,20,1,2,1,"<2,20>"
"exp4",7,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",7,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",7,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",7,50,1,9,40,1,8,2,"<8,40>"
"exp4",7,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",7,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",7,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",7,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",7,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",7,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",8,24,0,2,20,NA,NA,1,"<2,20>"
"exp4",8,24,1,3,20,1,2,1,"<2,20>"
"exp4",8,24,2,3.66,20,1,2,1,"<2,20>"
"exp4",8,24,3,4.2,20,1,2,1,"<2,20>"
"exp4",8,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",8,50,1,9,40,1,8,2,"<8,40>"
"exp4",8,50,2,9.88,40,1,8,2,"<8,40>"
"exp4",8,50,3,10.68,40,1,8,2,"<8,40>"
"exp4",8,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",8,61,1,20.4,40,1,8,3,"<20,40>"
"exp4",8,61,2,20.79,40,1,8,3,"<20,40>"
"exp4",8,61,3,21.17,40,1,8,3,"<20,40>"
"exp4",9,24,0,8,20,NA,NA,1,"<8,20>"
"exp4",9,24,1,8,20.4,2,8,1,"<8,20>"
"exp4",9,24,2,9,20.4,1,8,1,"<8,20>"
"exp4",9,24,3,9,20.4,0,0,1,"<8,20>"
"exp4",9,50,0,8,40,NA,NA,2,"<8,40>"
"exp4",9,50,1,8,40.2,2,8,2,"<8,40>"
"exp4",9,50,2,8,40.39,2,8,2,"<8,40>"
"exp4",9,50,3,9,40.39,1,8,2,"<8,40>"
"exp4",9,61,0,20,40,NA,NA,3,"<20,40>"
"exp4",9,61,1,20,40.2,2,8,3,"<20,40>"
"exp4",9,61,2,20.4,40.2,1,8,3,"<20,40>"
